group	sample	contig	gene_id	start	end	strand	pfam_acc	pfam_name	system	evalue	score
wastewater	SRR12447093	k141_28449	k141_28449_9	6521	6865	+	PF01545	Cation_efflux	czc_cation_efflux	0.011	18.1
wastewater	SRR12447093	k141_74507	k141_74507_9	5324	7579	+	PF01545	Cation_efflux	czc_cation_efflux	0.049	16.0
wastewater	SRR12447093	k141_21631	k141_21631_1	3	314	-	PF13450	NAD_binding_8	mer_mercuric_reductase	2.1e-20	75.3
wastewater	SRR12447093	k141_41781	k141_41781_2	684	1751	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0014	21.4
wastewater	SRR12447093	k141_129390	k141_129390_1	3	1226	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0024	20.6
wastewater	SRR12447093	k141_51385	k141_51385_2	693	1760	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0048	19.7
wastewater	SRR12447093	k141_46252	k141_46252_16	9795	10457	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.024	17.5
wastewater	SRR12447093	k141_89588	k141_89588_4	1815	2489	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.039	16.8
wastewater	SRR12447091	k141_143494	k141_143494_11	7632	7976	+	PF01545	Cation_efflux	czc_cation_efflux	0.011	18.1
wastewater	SRR12447091	k141_108163	k141_108163_13	8830	11085	+	PF01545	Cation_efflux	czc_cation_efflux	0.049	16.0
wastewater	SRR12447091	k141_121925	k141_121925_2	227	1318	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.4e-20	75.8
wastewater	SRR12447091	k141_51611	k141_51611_1	1	603	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1e-19	73.1
wastewater	SRR12447091	k141_46891	k141_46891_13	7392	8441	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00013	24.7
wastewater	SRR12447091	k141_118542	k141_118542_3	950	1246	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00076	22.2
wastewater	SRR12447091	k141_25512	k141_25512_2	567	1073	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00097	21.9
wastewater	SRR12447091	k141_146167	k141_146167_2	684	1751	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0014	21.4
wastewater	SRR12447091	k141_146171	k141_146171_2	693	1760	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0049	19.7
wastewater	SRR12447091	k141_45887	k141_45887_18	11652	12314	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.024	17.5
wastewater	SRR12447092	k141_108468	k141_108468_20	9422	9766	-	PF01545	Cation_efflux	czc_cation_efflux	0.011	18.1
wastewater	SRR12447092	k141_27430	k141_27430_7	9601	11856	-	PF01545	Cation_efflux	czc_cation_efflux	0.049	16.0
wastewater	SRR12447092	k141_70023	k141_70023_2	805	1896	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.5e-20	75.8
wastewater	SRR12447092	k141_86746	k141_86746_1	2	985	-	PF13450	NAD_binding_8	mer_mercuric_reductase	1.7e-20	75.6
wastewater	SRR12447092	k141_125362	k141_125362_1	39	929	+	PF13450	NAD_binding_8	mer_mercuric_reductase	1.8e-05	27.5
wastewater	SRR12447092	k141_155712	k141_155712_4	1210	1770	+	PF13450	NAD_binding_8	mer_mercuric_reductase	4.6e-05	26.2
wastewater	SRR12447092	k141_110437	k141_110437_1	3	122	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00017	24.4
wastewater	SRR12447092	k141_7911	k141_7911_3	1005	1412	+	PF13450	NAD_binding_8	mer_mercuric_reductase	0.00081	22.2
wastewater	SRR12447092	k141_95888	k141_95888_2	684	1751	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0014	21.4
wastewater	SRR12447092	k141_24273	k141_24273_1	1	177	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0048	19.7
wastewater	SRR12447092	k141_27109	k141_27109_2	693	1760	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0049	19.7
wastewater	SRR12447092	k141_23686	k141_23686_2	135	1346	-	PF13450	NAD_binding_8	mer_mercuric_reductase	0.0059	19.4
